Fecha UTC,Hora UTC,Clase de Vuelo (todos los vuelos),Clasificación Vuelo,Tipo de Movimiento,Aeropuerto,Origen / Destino,Aerolinea Nombre,Aeronave,Pasajeros,PAX,Calidad dato
01/01/2023,00:01,Regular,Internacional,Aterrizaje,EZE,LEMD,IBERIA - LINEAS AÉREAS DE ESPAÑA,0,199,199,DEFINITIVO
01/01/2023,00:10,Regular,Doméstico,Despegue,IGU,EZE,JETSMART AIRLINES S.A.,AIB-A320-232,67,34,DEFINITIVO
01/01/2023,00:15,Regular,Internacional,Aterrizaje,AER,SBPA,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,36,36,DEFINITIVO
01/01/2023,00:17,Regular,Doméstico,Aterrizaje,SAL,AER,JETSMART AIRLINES S.A.,AIB-A320-232,168,84,DEFINITIVO
01/01/2023,00:19,Regular,Doméstico,Aterrizaje,AER,OSA,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,17,9,DEFINITIVO
01/01/2023,00:19,Regular,Internacional,Aterrizaje,EZE,SBGL,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8AL,171,171,DEFINITIVO
01/01/2023,00:21,Regular,Internacional,Aterrizaje,AER,SBCT,AEROLINEAS ARGENTINAS SA,BO-737-76N,83,83,DEFINITIVO
01/01/2023,00:26,Regular,Doméstico,Aterrizaje,IGU,AER,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86N,187,94,DEFINITIVO
01/01/2023,00:28,Vuelo Oficial Nacional,Doméstico,Aterrizaje,DOZ,DOZ,0,PA-PA-31-T,0,0,DEFINITIVO
01/01/2023,00:29,Regular,Internacional,Aterrizaje,AER,SBGR,AEROLINEAS ARGENTINAS SA,BO-737-8,84,84,DEFINITIVO
01/01/2023,00:31,Regular,Doméstico,Despegue,NEU,AER,JETSMART AIRLINES S.A.,AIB-A320-232,9,5,DEFINITIVO
01/01/2023,00:35,Regular,Doméstico,Despegue,AER,DOZ,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8Q8,181,91,DEFINITIVO
01/01/2023,00:35,Regular,Internacional,Despegue,DOZ,SCEL,LATAM AIRLINES GROUP S.A.(exLAN AIRLINE),0,68,68,DEFINITIVO
01/01/2023,00:39,Regular,Internacional,Aterrizaje,AER,SCEL,AEROLINEAS ARGENTINAS SA,BO-737-800,40,40,DEFINITIVO
01/01/2023,00:40,Regular,Internacional,Despegue,EZE,KATL,DELTA AIRLINES,0,235,235,DEFINITIVO
01/01/2023,00:40,Regular,Internacional,Despegue,EZE,SPJC,LAN PERU,0,100,100,DEFINITIVO
01/01/2023,00:41,Regular,Doméstico,Aterrizaje,CBA,AER,JETSMART AIRLINES S.A.,AIB-A320-232,85,43,DEFINITIVO
01/01/2023,00:43,Regular,Internacional,Despegue,EZE,SCEL,SKY AIRLINE S.A.,0,120,120,DEFINITIVO
01/01/2023,00:44,No Regular,Doméstico,Aterrizaje,FDO,TUC,AEROVIDA S.A.,BE-B-200,0,0,DEFINITIVO
01/01/2023,00:49,Regular,Doméstico,Aterrizaje,AER,CBA,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86N,151,76,DEFINITIVO
01/01/2023,00:52,Regular,Doméstico,Aterrizaje,POS,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,84,42,DEFINITIVO
01/01/2023,00:53,Regular,Internacional,Despegue,EZE,SCEL,LATAM AIRLINES GROUP S.A.(exLAN AIRLINE),0,145,145,DEFINITIVO
01/01/2023,00:56,Regular,Doméstico,Aterrizaje,DOZ,AER,JETSMART AIRLINES S.A.,AIB-A320-232,134,67,DEFINITIVO
01/01/2023,01:00,Regular,Doméstico,Despegue,SAL,EZE,JETSMART AIRLINES S.A.,AIB-A320-232,37,19,DEFINITIVO
01/01/2023,01:01,Regular,Internacional,Despegue,EZE,KMIA,AMERICAN AIRLINES INC.,0,255,255,DEFINITIVO
01/01/2023,01:02,Regular,Doméstico,Aterrizaje,AER,BAR,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8U3,29,15,DEFINITIVO
01/01/2023,01:04,Regular,Internacional,Despegue,AER,SBGR,LATAM AIRLINES BRASIL (exTAM LA SA),0,149,149,DEFINITIVO
01/01/2023,01:05,Regular,Internacional,Despegue,EZE,MMUN,AEROLINEAS ARGENTINAS SA,AIB-A330-203,275,275,DEFINITIVO
01/01/2023,01:07,Regular,Doméstico,Aterrizaje,AER,SDE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8Q8,148,74,DEFINITIVO
01/01/2023,01:10,Regular,Internacional,Despegue,EZE,KIAH,UNITED AIRLINES INC. (EEUU),0,269,269,DEFINITIVO
01/01/2023,01:11,Regular,Doméstico,Aterrizaje,AER,ECA,AEROLINEAS ARGENTINAS SA,BO-737-800,122,61,DEFINITIVO
01/01/2023,01:12,Regular,Doméstico,Aterrizaje,DOZ,AER,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8HX,166,83,DEFINITIVO
01/01/2023,01:15,Regular,Doméstico,Despegue,IGU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86N,93,47,DEFINITIVO
01/01/2023,01:19,Regular,Doméstico,Aterrizaje,EZE,BAR,JETSMART AIRLINES S.A.,AIB-A320-232,186,93,DEFINITIVO
01/01/2023,01:23,Regular,Internacional,Despegue,EZE,KDFW,AMERICAN AIRLINES INC.,0,270,270,DEFINITIVO
01/01/2023,01:28,Regular,Doméstico,Despegue,CBA,AER,JETSMART AIRLINES S.A.,AIB-A320-232,46,23,DEFINITIVO
01/01/2023,01:36,Regular,Internacional,Aterrizaje,EZE,MMMX,AEROVIAS DE MEXICO - AEROMEXICO,0,88,88,DEFINITIVO
01/01/2023,01:48,Regular,Doméstico,Aterrizaje,EZE,BAR,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86N,110,55,DEFINITIVO
01/01/2023,01:49,Regular,Doméstico,Aterrizaje,AER,USU,AEROLINEAS ARGENTINAS SA,BO-737-8SH,167,84,DEFINITIVO
01/01/2023,01:49,Regular,Doméstico,Aterrizaje,EZE,IGU,JETSMART AIRLINES S.A.,AIB-A320-232,133,67,DEFINITIVO
01/01/2023,01:49,Regular,Doméstico,Despegue,DOZ,AER,JETSMART AIRLINES S.A.,AIB-A320-232,94,47,DEFINITIVO
01/01/2023,01:50,Regular,Doméstico,Aterrizaje,AER,NEU,JETSMART AIRLINES S.A.,AIB-A320-232,165,83,DEFINITIVO
01/01/2023,01:55,No Regular,Internacional,Aterrizaje,EZE,SGAS,AEROVIP (URUGUAY),0,0,0,DEFINITIVO
01/01/2023,01:56,Regular,Doméstico,Aterrizaje,EZE,ECA,AEROLINEAS ARGENTINAS SA,BO-B737-8SH,140,70,DEFINITIVO
01/01/2023,02:00,Regular,Internacional,Aterrizaje,EZE,SBFL,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8HX,145,145,DEFINITIVO
01/01/2023,02:03,Regular,Doméstico,Despegue,DOZ,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8HX,85,43,DEFINITIVO
01/01/2023,02:05,Regular,Internacional,Despegue,EZE,LFPG,AIR FRANCE,0,299,299,DEFINITIVO
01/01/2023,02:11,Regular,Internacional,Aterrizaje,EZE,SCEL,LATAM AIRLINES GROUP S.A.(exLAN AIRLINE),0,22,22,DEFINITIVO
01/01/2023,02:15,Regular,Doméstico,Aterrizaje,DOZ,AER,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8Q8,181,91,DEFINITIVO
01/01/2023,02:18,Regular,Internacional,Despegue,EZE,LEMD,IBERIA - LINEAS AÉREAS DE ESPAÑA,0,265,265,DEFINITIVO
01/01/2023,02:22,Regular,Internacional,Despegue,EZE,KMIA,AMERICAN AIRLINES INC.,0,206,206,DEFINITIVO
01/01/2023,02:24,Regular,Doméstico,Aterrizaje,AER,CBA,JETSMART AIRLINES S.A.,AIB-A320-232,190,95,DEFINITIVO
01/01/2023,02:40,Regular,Internacional,Despegue,EZE,KMIA,AEROLINEAS ARGENTINAS SA,AIB-A330-203,238,238,DEFINITIVO
01/01/2023,02:46,Regular,Doméstico,Aterrizaje,EZE,SAL,JETSMART AIRLINES S.A.,AIB-A320-232,37,19,DEFINITIVO
01/01/2023,02:49,Regular,Internacional,Despegue,EZE,KJFK,AMERICAN AIRLINES INC.,0,269,269,DEFINITIVO
01/01/2023,02:52,Regular,Internacional,Despegue,EZE,LEMD,AEROLINEAS ARGENTINAS SA,AIB-A330-202,200,200,DEFINITIVO
01/01/2023,02:54,Regular,Internacional,Despegue,EZE,KJFK,AEROLINEAS ARGENTINAS SA,AIB-A330-202,258,258,DEFINITIVO
01/01/2023,02:56,Regular,Doméstico,Despegue,DOZ,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8Q8,51,26,DEFINITIVO
01/01/2023,03:07,Regular,Doméstico,Aterrizaje,AER,DOZ,JETSMART AIRLINES S.A.,AIB-A320-232,94,47,DEFINITIVO
01/01/2023,03:10,Regular,Doméstico,Aterrizaje,EZE,IGU,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86N,97,49,DEFINITIVO
01/01/2023,03:10,Regular,Internacional,Aterrizaje,EZE,SBGR,LATAM AIRLINES BRASIL (exTAM LA SA),0,66,66,DEFINITIVO
01/01/2023,03:17,Regular,Internacional,Aterrizaje,EZE,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,69,69,DEFINITIVO
01/01/2023,03:18,Regular,Internacional,Aterrizaje,EZE,SKBO,AVIANCA AEROVIAS NACIONALES COLOMBIA,0,52,52,DEFINITIVO
01/01/2023,03:20,Regular,Doméstico,Aterrizaje,EZE,DOZ,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8HX,85,43,DEFINITIVO
01/01/2023,03:22,Regular,Internacional,Despegue,EZE,MMMX,AEROVIAS DE MEXICO - AEROMEXICO,0,238,238,DEFINITIVO
01/01/2023,03:25,Regular,Internacional,Aterrizaje,ROS,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,32,32,DEFINITIVO
01/01/2023,03:31,Regular,Internacional,Aterrizaje,CBA,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,86,86,DEFINITIVO
01/01/2023,03:40,Regular,Internacional,Aterrizaje,DOZ,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,28,28,DEFINITIVO
01/01/2023,03:45,Regular,Doméstico,Despegue,POS,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,99,50,DEFINITIVO
01/01/2023,04:39,Regular,Internacional,Aterrizaje,EZE,SBFL,GOL LINHAS AÉREAS S.A.,0,11,11,DEFINITIVO
01/01/2023,04:47,Regular,Internacional,Despegue,DOZ,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,138,138,DEFINITIVO
01/01/2023,04:53,Regular,Internacional,Despegue,ROS,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,137,137,DEFINITIVO
01/01/2023,05:00,Regular,Internacional,Aterrizaje,EZE,SLVR,BOLIVIANA DE AVIACION,0,110,110,DEFINITIVO
01/01/2023,05:03,Regular,Internacional,Despegue,EZE,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,168,168,DEFINITIVO
01/01/2023,05:07,Regular,Internacional,Despegue,EZE,MDPC,AEROLINEAS ARGENTINAS SA,BO-737-8,170,170,DEFINITIVO
01/01/2023,05:21,Regular,Internacional,Despegue,CBA,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,143,143,DEFINITIVO
